id,type,delay,adoption_time,contract
0,H,0,0,S
1,L,0,0,S
2,L,0,0,S
3,L,0,0,S
4,H,0,0,S
5,H,0,0,S
6,H,0,0,S
7,L,0,0,S
8,H,0,0,S
9,L,0,0,S
10,L,0,0,S
11,H,0,0,S
12,L,0,0,S
13,L,0,0,S
14,H,0,0,S
15,H,0,0,S
16,L,0,0,S
17,H,0,0,S
18,H,0,0,S
19,L,0,0,S
20,H,0,0,S
21,H,0,0,S
22,H,0,0,S
23,L,0,0,S
24,H,0,0,S
25,H,0,0,S
26,L,0,0,S
27,L,0,0,S
28,H,0,0,S
29,H,0,0,S
30,H,0,0,S
31,H,0,0,S
32,H,0,0,S
33,H,0,0,S
34,H,0,0,S
35,H,0,0,S
36,H,0,0,S
37,H,0,0,S
38,H,0,0,S
39,H,0,0,S
40,H,0,0,S
41,L,0,0,S
42,L,0,0,S
43,L,0,0,S
44,L,0,0,S
45,L,0,0,S
46,L,0,0,S
47,L,0,0,S
48,H,0,0,S
49,H,0,0,S
50,H,0,0,S
51,L,0,0,S
52,L,0,0,S
53,H,0,0,S
54,H,0,0,S
55,H,0,0,S
56,L,0,0,S
57,H,0,0,S
58,L,0,0,S
59,H,0,0,S
60,H,0,0,S
61,H,0,0,S
62,H,0,0,S
63,H,0,0,S
64,H,0,0,S
65,H,0,0,S
66,L,0,0,S
67,L,0,0,S
68,H,0,0,S
69,L,0,0,S
70,L,0,0,S
71,H,0,0,S
72,H,0,0,S
73,H,0,0,S
74,H,0,0,S
75,H,0,0,S
76,H,0,0,S
77,H,0,0,S
78,L,0,0,S
79,L,0,0,S
80,H,0,0,S
81,L,0,0,S
82,H,0,0,S
83,H,0,0,S
84,H,0,0,S
85,L,0,0,S
86,H,0,0,S
87,H,0,0,S
88,L,0,0,S
89,L,0,0,S
90,L,0,0,S
91,H,0,0,S
92,H,0,0,S
93,H,0,0,S
94,L,0,0,S
95,H,0,0,S
96,H,0,0,S
97,H,0,0,S
98,H,0,0,S
99,H,0,0,S
100,L,0,0,S
101,H,0,0,S
102,H,0,0,S
103,H,0,0,S
104,L,0,0,S
105,H,0,0,S
106,L,0,0,S
107,H,0,0,S
108,H,0,0,S
109,H,0,0,S
110,H,0,0,S
111,L,0,0,S
112,H,0,0,S
113,L,0,0,S
114,H,0,0,S
115,H,0,0,S
116,L,0,0,S
117,H,0,0,S
118,H,0,0,S
119,L,0,0,S
120,H,0,0,S
121,H,0,0,S
122,H,0,0,S
123,H,0,0,S
124,L,0,0,S
125,H,0,0,S
126,L,0,0,S
127,H,0,0,S
128,H,0,0,S
129,H,0,0,S
130,H,0,0,S
131,L,0,0,S
132,H,0,0,S
133,H,0,0,S
134,L,0,0,S
135,H,0,0,S
136,L,0,0,S
137,H,0,0,S
138,H,0,0,S
139,L,0,0,S
140,H,0,0,S
141,H,0,0,S
142,L,0,0,S
143,H,0,0,S
144,H,0,0,S
145,L,0,0,S
146,H,0,0,S
147,H,0,0,S
148,L,0,0,S
149,H,0,0,S
150,H,0,0,S
151,H,0,0,S
152,H,0,0,S
153,H,0,0,S
154,L,0,0,S
155,L,0,0,S
156,H,0,0,S
157,H,0,0,S
158,L,0,0,S
159,L,0,0,S
160,L,0,0,S
161,H,0,0,S
162,L,0,0,S
163,H,0,0,S
164,H,0,0,S
165,L,0,0,S
166,L,0,0,S
167,H,0,0,S
168,L,0,0,S
169,L,0,0,S
170,H,0,0,S
171,H,0,0,S
172,H,0,0,S
173,H,0,0,S
174,H,0,0,S
175,L,0,0,S
176,L,0,0,S
177,H,0,0,S
178,H,0,0,S
179,H,0,0,S
180,H,0,0,S
181,H,0,0,S
182,H,0,0,S
183,L,0,0,S
184,H,0,0,S
185,H,0,0,S
186,H,0,0,S
187,L,0,0,S
188,L,0,0,S
189,H,0,0,S
190,H,0,0,S
191,L,0,0,S
192,L,0,0,S
193,H,0,0,S
194,H,0,0,S
195,H,0,0,S
196,H,0,0,S
197,L,0,0,S
198,H,0,0,S
199,H,0,0,S
