id,type,delay,adoption_time,contract
1,L,0,0,Y
2,L,0,0,Y
3,L,0,0,Y
7,L,0,0,Y
8,L,0,0,Y
9,L,0,0,Y
10,L,0,0,Y
12,L,0,0,Y
13,L,0,0,Y
16,L,0,0,Y
19,L,0,0,Y
22,L,0,0,Y
23,L,0,0,Y
25,L,0,0,Y
26,L,0,0,Y
27,L,0,0,Y
34,L,0,0,Y
41,L,0,0,Y
42,L,0,0,Y
43,L,0,0,Y
44,L,0,0,Y
45,L,0,0,Y
46,L,0,0,Y
47,L,0,0,Y
49,L,0,0,Y
50,L,0,0,Y
51,L,0,0,Y
52,L,0,0,Y
56,L,0,0,Y
58,L,0,0,Y
59,L,0,0,Y
66,L,0,0,Y
67,L,0,0,Y
68,L,0,0,Y
69,L,0,0,Y
70,L,0,0,Y
73,L,0,0,Y
75,L,0,0,Y
77,L,0,0,Y
78,L,0,0,Y
79,L,0,0,Y
81,L,0,0,Y
84,L,0,0,Y
85,L,0,0,Y
88,L,0,0,Y
89,L,0,0,Y
90,L,0,0,Y
93,L,0,0,Y
94,L,0,0,Y
95,L,0,0,Y
100,L,0,0,Y
104,L,0,0,Y
106,L,0,0,Y
107,L,0,0,Y
108,L,0,0,Y
111,L,0,0,Y
113,L,0,0,Y
116,L,0,0,Y
119,L,0,0,Y
124,L,0,0,Y
125,L,0,0,Y
126,L,0,0,Y
130,L,0,0,Y
131,L,0,0,Y
134,L,0,0,Y
135,L,0,0,Y
136,L,0,0,Y
139,L,0,0,Y
140,L,0,0,Y
142,L,0,0,Y
144,L,0,0,Y
145,L,0,0,Y
148,L,0,0,Y
149,L,0,0,Y
152,L,0,0,Y
154,L,0,0,Y
155,L,0,0,Y
156,L,0,0,Y
158,L,0,0,Y
159,L,0,0,Y
160,L,0,0,Y
162,L,0,0,Y
165,L,0,0,Y
166,L,0,0,Y
168,L,0,0,Y
169,L,0,0,Y
172,L,0,0,Y
175,L,0,0,Y
176,L,0,0,Y
177,L,0,0,Y
178,L,0,0,Y
179,L,0,0,Y
183,L,0,0,Y
184,L,0,0,Y
185,L,0,0,Y
187,L,0,0,Y
188,L,0,0,Y
189,L,0,0,Y
190,L,0,0,Y
191,L,0,0,Y
192,L,0,0,Y
194,L,0,0,Y
197,L,0,0,Y
