id,type,delay,adoption_time,contract
0,H,0,0,Y
1,L,0,0,Y
2,L,0,0,Y
3,L,0,0,Y
4,H,0,0,Y
5,H,0,0,Y
6,H,0,0,Y
7,L,0,0,Y
8,H,0,0,Y
9,L,0,0,Y
10,L,0,0,Y
11,H,0,0,Y
12,L,0,0,Y
13,L,0,0,Y
14,H,0,0,Y
15,H,0,0,Y
16,L,0,0,Y
17,H,0,0,Y
18,H,0,0,Y
19,L,0,0,Y
20,H,0,0,Y
21,H,0,0,Y
22,H,0,0,Y
23,L,0,0,Y
24,H,0,0,Y
25,H,0,0,Y
26,L,0,0,Y
27,L,0,0,Y
28,H,0,0,Y
29,H,0,0,Y
30,H,0,0,Y
31,H,0,0,Y
32,H,0,0,Y
33,H,0,0,Y
34,H,0,0,Y
35,H,0,0,Y
36,H,0,0,Y
37,H,0,0,Y
38,H,0,0,Y
39,H,0,0,Y
40,H,0,0,Y
41,L,0,0,Y
42,L,0,0,Y
43,L,0,0,Y
44,L,0,0,Y
45,L,0,0,Y
46,L,0,0,Y
47,L,0,0,Y
48,H,0,0,Y
49,H,0,0,Y
50,H,0,0,Y
51,L,0,0,Y
52,L,0,0,Y
53,H,0,0,Y
54,H,0,0,Y
55,H,0,0,Y
56,L,0,0,Y
57,H,0,0,Y
58,L,0,0,Y
59,H,0,0,Y
60,H,0,0,Y
61,H,0,0,Y
62,H,0,0,Y
63,H,0,0,Y
64,H,0,0,Y
65,H,0,0,Y
66,L,0,0,Y
67,L,0,0,Y
68,H,0,0,Y
69,L,0,0,Y
70,L,0,0,Y
71,H,0,0,Y
72,H,0,0,Y
73,H,0,0,Y
74,H,0,0,Y
75,H,0,0,Y
76,H,0,0,Y
77,H,0,0,Y
78,L,0,0,Y
79,L,0,0,Y
80,H,0,0,Y
81,L,0,0,Y
82,H,0,0,Y
83,H,0,0,Y
84,H,0,0,Y
85,L,0,0,Y
86,H,0,0,Y
87,H,0,0,Y
88,L,0,0,Y
89,L,0,0,Y
90,L,0,0,Y
91,H,0,0,Y
92,H,0,0,Y
93,H,0,0,Y
94,L,0,0,Y
95,H,0,0,Y
96,H,0,0,Y
97,H,0,0,Y
98,H,0,0,Y
99,H,0,0,Y
100,L,0,0,Y
101,H,0,0,Y
102,H,0,0,Y
103,H,0,0,Y
104,L,0,0,Y
105,H,0,0,Y
106,L,0,0,Y
107,H,0,0,Y
108,H,0,0,Y
109,H,0,0,Y
110,H,0,0,Y
111,L,0,0,Y
112,H,0,0,Y
113,L,0,0,Y
114,H,0,0,Y
115,H,0,0,Y
116,L,0,0,Y
117,H,0,0,Y
118,H,0,0,Y
119,L,0,0,Y
120,H,0,0,Y
121,H,0,0,Y
122,H,0,0,Y
123,H,0,0,Y
124,L,0,0,Y
125,H,0,0,Y
126,L,0,0,Y
127,H,0,0,Y
128,H,0,0,Y
129,H,0,0,Y
130,H,0,0,Y
131,L,0,0,Y
132,H,0,0,Y
133,H,0,0,Y
134,L,0,0,Y
135,H,0,0,Y
136,L,0,0,Y
137,H,0,0,Y
138,H,0,0,Y
139,L,0,0,Y
140,H,0,0,Y
141,H,0,0,Y
142,L,0,0,Y
143,H,0,0,Y
144,H,0,0,Y
145,L,0,0,Y
146,H,0,0,Y
147,H,0,0,Y
148,L,0,0,Y
149,H,0,0,Y
150,H,0,0,Y
151,H,0,0,Y
152,H,0,0,Y
153,H,0,0,Y
154,L,0,0,Y
155,L,0,0,Y
156,H,0,0,Y
157,H,0,0,Y
158,L,0,0,Y
159,L,0,0,Y
160,L,0,0,Y
161,H,0,0,Y
162,L,0,0,Y
163,H,0,0,Y
164,H,0,0,Y
165,L,0,0,Y
166,L,0,0,Y
167,H,0,0,Y
168,L,0,0,Y
169,L,0,0,Y
170,H,0,0,Y
171,H,0,0,Y
172,H,0,0,Y
173,H,0,0,Y
174,H,0,0,Y
175,L,0,0,Y
176,L,0,0,Y
177,H,0,0,Y
178,H,0,0,Y
179,H,0,0,Y
180,H,0,0,Y
181,H,0,0,Y
182,H,0,0,Y
183,L,0,0,Y
184,H,0,0,Y
185,H,0,0,Y
186,H,0,0,Y
187,L,0,0,Y
188,L,0,0,Y
189,H,0,0,Y
190,H,0,0,Y
191,L,0,0,Y
192,L,0,0,Y
193,H,0,0,Y
194,H,0,0,Y
195,H,0,0,Y
196,H,0,0,Y
197,L,0,0,Y
198,H,0,0,Y
199,H,0,0,Y
